cusip,start_year,end_year,gaps,missing_years
000307108,2011,2018,False,
00032Q104,2020,2024,False,
000360206,1990,2024,False,
00081T108,2003,2024,False,
000868109,2001,2024,False,
000899104,2012,2024,False,
00090Q103,2015,2024,False,
00091E109,2019,2024,False,
00091F304,2019,2024,False,
00091G104,2018,2024,False,
000973107,1994,2000,False,
001055102,1985,2024,False,
001084102,1991,2024,False,
00108J109,2015,2024,False,
00109K105,2020,2024,False,
001228501,2011,2024,False,
00123Q104,2008,2024,False,
00130H105,1990,2024,False,
00138L108,2019,2024,False,
00152K200,2019,2024,False,
001642107,1991,1999,False,
00164V103,2010,2024,False,
00165C302,2012,2024,False,
00166B105,2018,2024,False,
001744101,1999,2024,False,
00175J107,2017,2017,False,
00180G304,2017,2023,False,
001813104,1998,2002,False,
00182C103,2012,2024,False,
00183L201,2015,2024,False,
001870104,1985,1988,False,
00187Y100,2018,2024,False,
00191U102,1991,2024,False,
001944107,1993,1998,False,
00206R102,1985,2024,False,
00208J108,1999,2011,False,
00211V106,2017,2024,False,
002120202,2013,2024,False,
002121101,2012,2024,False,
00215F107,1990,2024,False,
00215W100,1998,2024,False,
00217D100,2020,2024,False,
00218A105,2021,2024,False,
002205102,2020,2024,False,
00246W103,1996,2024,False,
00252W104,1995,2004,False,
00258Y104,2020,2024,False,
002824100,1985,2024,False,
00287Y109,2010,2024,False,
00288U106,2018,2024,False,
00289Y206,1986,2024,False,
002942100,2022,2024,False,
00301W105,1989,2024,False,
00302M106,2006,2024,False,
003057106,2011,2024,False,
00326L100,2007,2024,False,
00326W106,2020,2024,False,
00370M103,2021,2024,False,
00374N107,1995,2011,False,
003881307,1995,2024,False,
00404A109,2010,2024,False,
004225108,2002,2024,False,
004239109,1992,2024,False,
004308102,1991,2003,False,
00430H201,2013,2024,False,
00436Q106,2018,2024,False,
00444T209,2008,2024,False,
00445A100,2021,2024,False,
004468500,2015,2024,False,
004498101,2008,2024,False,
00461U105,2013,2024,False,
004724100,1985,2000,False,
004816104,1985,2024,False,
00486H105,1993,2024,False,
004890109,2020,2024,False,
00489Q102,2005,2024,False,
00503R409,2020,2024,False,
00507W206,2012,2024,False,
005083100,2022,2024,False,
005098108,2014,2024,False,
00509G209,2019,2024,False,
00510M104,2019,2024,False,
005329107,2018,2024,False,
00534A102,2020,2024,False,
00548F105,1985,2024,False,
006212104,1985,2024,False,
00650F109,2017,2024,False,
00653A107,2016,2024,False,
00653Q102,2016,2024,False,
00654J206,2017,2024,False,
006739106,2007,2024,False,
00676P107,2001,2024,False,
006847107,1998,2000,False,
006848105,1998,2005,False,
006855100,2011,2015,False,
00688A205,2016,2024,False,
007002108,2018,2024,False,
007025802,2018,2024,False,
00704R109,2021,2023,False,
00737L103,1985,1986,False,
00751Y106,1999,2024,False,
0076CA104,1985,2024,False,
00770C101,2001,2024,False,
00770K202,2012,2024,False,
00773J202,2014,2024,False,
00773T101,2014,2023,False,
00773U207,2012,2024,False,
00788A204,2020,2023,False,
007903107,1987,2024,False,
00791N102,2019,2024,False,
00791X209,2022,2024,False,
007942204,1985,2008,False,
007973100,1994,2024,False,
00810F106,2018,2024,False,
008183204,2020,2024,False,
008252108,1995,2024,False,
00832E103,2019,2024,False,
00835Q202,2019,2024,False,
008389207,2020,2024,False,
008474108,1985,2024,False,
00847G804,1998,2024,False,
00847X104,2011,2024,False,
00848K309,2017,2024,False,
008492100,1993,2024,False,
00851L103,2018,2024,False,
00853E404,2018,2024,False,
00857U107,2019,2024,False,
008875304,2013,2024,False,
00887A204,2015,2024,False,
008940108,2022,2024,False,
00901B105,1994,2024,False,
00902F303,1995,2024,False,
009066101,2015,2024,False,
00912N403,2011,2024,False,
00912X302,2010,2024,False,
00922R105,2001,2024,False,
00938A104,2014,2024,False,
