cusip,default_year,start_year,end_year,in_range
15670S402,2018,1994,2016,False
189464100,2022,2009,2021,False
37951D300,2020,2010,2019,False
591324207,2001,1996,2004,True
88331E104,2010,2003,2009,False
92335X100,2002,1999,2000,False
029050937,2003,1997,2002,False
12612L108,1982,1985,2010,False
677007205,2004,1985,2005,True
756268108,2003,1985,2001,False
857689103,2009,1998,2006,False
868157306,2020,1996,2019,False
269153102,2001,1997,2000,False
578349102,1992,1985,1993,True
666610100,2001,1997,1999,False
019223106,2005,1992,2006,True
170032809,2001,1985,2013,True
344155205,2002,1997,2002,True
690020102,2000,1999,1999,False
670198100,1998,1993,2002,True
861572105,2000,1985,1999,False
86732Y109,2016,1994,2014,False
883435307,2001,1992,2009,True
25501G105,2019,2008,2018,False
398189100,1994,1985,1995,True
055382931,1994,1985,1993,False
452680101,2009,1994,2008,False
05873K108,2008,1985,2006,False
304231301,1990,1986,2000,True
440694305,2016,2005,2015,False
744482001,1988,1985,2024,True
83169A100,1999,1994,1997,False
08170W932,2002,1995,2000,False
239624208,1991,1986,1987,False
29409K606,1980,1985,2000,False
86149C104,2002,1995,1998,False
007942204,2009,1985,2008,False
366505105,2020,2015,2024,True
43738R109,2007,2000,2006,False
50218P107,2020,2011,2019,False
607415106,1997,1990,1995,False
885218800,2009,1993,2007,False
898172937,1991,1988,1995,True
903914208,2020,2000,2019,False
948774104,2003,1988,2003,True
949702104,2008,1986,2007,False
G6S01W108,2017,2010,2016,False
119882934,2008,1985,2001,False
320135106,1991,1985,1990,False
35921N101,2002,1997,2002,True
88650R108,2010,2000,2008,False
92336G106,2008,2002,2007,False
31779P108,2000,1992,1996,False
36191G107,2020,2009,2019,False
402571103,1993,1985,1992,False
741917108,1990,1993,2003,False
06985P209,2021,2003,2020,False
125185108,1990,1985,1991,True
001813104,2001,1998,2002,True
00208J108,2012,1999,2011,False
247918105,2007,1995,2006,False
55272N104,1998,1989,2000,True
69331C108,2019,1985,2024,True
872424106,1990,1985,1996,True
89299Y009,1986,1985,1986,True
317832103,1999,1993,1998,False
541424933,2002,1995,2000,False
106776107,2016,2005,2016,True
165159104,2008,1985,2008,True
196267009,1996,1987,1994,False
404429102,2001,1991,2000,False
87311M102,2009,2000,2008,False
892349200,1991,1985,1997,True
24823Q107,2014,1998,2013,False
45950T101,2002,1990,2000,False
777385105,2020,2014,2019,False
981579105,2008,2000,2007,False
255402406,2003,1999,2001,False
358453306,2013,2006,2013,True
44926L300,1995,1985,2000,True
45068B109,2016,1993,2015,False
70556K106,1998,1985,1997,False
709600100,2013,2005,2011,False
86725N102,2021,2014,2020,False
524706108,2019,2005,2018,False
87972L104,2009,2003,2008,False
97652H109,1999,1993,1998,False
598251106,2010,1997,2009,False
691435101,1992,1985,1991,False
81734P206,2021,2005,2020,False
01747T102,2003,1997,2003,True
03058P109,2010,1995,2009,False
229241104,1986,1985,1998,True
50599Y933,1993,1985,1990,False
816074405,2003,1985,2005,True
573913100,1996,1988,1997,True
72346N101,2002,1995,2001,False
92999Z938,2002,1996,2003,True
419879101,2003,1994,2023,True
478129109,1982,1985,1999,False
84649R200,2009,2003,2014,True
433245107,2008,1996,2006,False
45321T202,2002,1997,2006,True
624581203,2010,1993,2007,False
872918107,1993,1987,1991,False
881694103,1987,1985,2000,True
893349837,2001,1985,1999,False
195493309,2009,1985,2008,False
834376501,2003,1995,2011,True
896106200,2010,1995,2009,False
92275P307,2016,2002,2011,False
05501X100,2017,2011,2015,False
140909102,2009,1991,2008,False
