cusip,first_year,last_year,null_count,total_values,percent_nulls
31447P100,2005,2024,21,240,8.75
92705T200,2003,2024,158,264,59.84848484848485
678026105,1999,2024,26,312,8.333333333333332
25264R207,2000,2024,59,300,19.666666666666664
31946M103,1985,2024,293,480,61.04166666666667
09061G101,1997,2024,29,336,8.630952380952381
592688105,1996,2024,32,348,9.195402298850574
532275104,2012,2024,13,156,8.333333333333332
505606103,1985,1997,25,156,16.025641025641026
376536108,2003,2024,45,264,17.045454545454543
87971Q104,1993,2000,15,96,15.625
30049A107,1995,2003,13,108,12.037037037037036
451622203,2011,2024,14,168,8.333333333333332
15115M101,1991,1998,54,96,56.25
31567R209,2002,2010,52,108,48.148148148148145
092113109,1985,2024,83,480,17.291666666666668
50189K103,1993,2024,38,384,9.895833333333332
749607107,1985,2024,150,480,31.25
881451108,1992,2009,30,216,13.88888888888889
08160H101,1989,2024,46,432,10.648148148148149
199908104,1997,2024,30,336,8.928571428571429
680223104,1985,2024,129,480,26.875
500600101,1991,2024,42,408,10.294117647058822
939322103,1985,2007,168,276,60.86956521739131
500688106,2009,2024,16,192,8.333333333333332
554382101,1993,2024,96,384,25.0
416196202,1985,2024,55,480,11.458333333333332
98978V103,2010,2024,18,180,10.0
235825205,1985,2024,82,480,17.083333333333332
847215100,2013,2024,12,144,8.333333333333332
04621X108,2001,2024,59,288,20.48611111111111
074002205,2004,2008,4,60,6.666666666666667
26745T101,2003,2024,22,264,8.333333333333332
G9108L173,2000,2024,25,300,8.333333333333332
08915P101,2000,2024,25,300,8.333333333333332
739363307,1995,2011,20,204,9.803921568627452
871655106,1993,2024,38,384,9.895833333333332
006847107,1998,2000,3,36,8.333333333333332
04544X300,1993,2012,27,240,11.25
00773J202,2014,2024,11,132,8.333333333333332
20825C104,1985,2024,57,480,11.875
75901B107,2013,2024,12,144,8.333333333333332
71654J108,1990,1992,35,36,97.22222222222221
92532F100,1990,2024,44,420,10.476190476190476
923451108,2012,2024,93,156,59.61538461538461
69047Q102,1985,2024,56,480,11.666666666666666
896945201,2010,2024,16,180,8.88888888888889
140909102,1991,2008,25,216,11.574074074074074
640671400,2001,2024,24,288,8.333333333333332
156492100,1992,2024,50,396,12.626262626262626
50187T106,2011,2024,38,168,22.61904761904762
