k,mu_a,AUC,pAUC,AUC Difference P Value
0.0,mu_a_max,0.8678908424908425,0.30647619047619046,5.217166191736643e-06
0.0,rf,0.8964329670329669,0.31068864468864466,0.006043366868180401
0.0,mu_a,0.8772142857142857,0.453915750915751,2.0721459949846427e-08
0.1,mu_a_max,0.8650860805860806,0.2977509157509157,1.8414021046730433e-06
0.1,rf,0.8951490842490843,0.31547619047619047,0.002293894156346979
0.1,mu_a,0.873870695970696,0.460029304029304,8.076085440485142e-09
0.2,mu_a_max,0.8626626373626374,0.2677985347985348,7.942938241580117e-07
0.2,rf,0.8938813186813187,0.29472161172161176,0.001103439762599674
0.2,mu_a,0.8709567765567765,0.4647142857142857,4.779961942774772e-09
0.3,mu_a_max,0.8604282051282051,0.2911758241758241,5.12570297336614e-07
0.3,rf,0.892618315018315,0.31278388278388275,0.0006034624988694919
0.3,mu_a,0.8684258241758243,0.4655293040293041,2.0078040474675432e-09
0.4,mu_a_max,0.858397435897436,0.2693003663003663,4.129652855052164e-07
0.4,rf,0.8914194139194138,0.30778021978021974,0.0004038060204226678
0.4,mu_a,0.8660586080586081,0.46092307692307694,1.9682924306826663e-09
0.5,mu_a_max,0.8564970695970695,0.27315384615384614,
0.5,rf,0.8902813186813187,0.30949816849816847,
0.5,mu_a,0.8638789377289379,0.4425989010989011,
0.6,mu_a_max,0.8547091575091574,0.27869963369963363,2.8848245948547447e-07
0.6,rf,0.8891589743589744,0.3107838827838828,0.00018507847380216084
0.6,mu_a,0.8618472527472528,0.4471465201465201,1.452717258580824e-09
0.7,mu_a_max,0.8530080586080586,0.28926373626373625,1.819378427200192e-07
0.7,rf,0.8880615384615385,0.31073260073260073,0.00011154799077000732
0.7,mu_a,0.8599684981684982,0.45704761904761904,1.2218171378699186e-09
0.8,mu_a_max,0.8514505494505495,0.27776190476190477,1.3785892763467627e-07
0.8,rf,0.8869582417582418,0.29661904761904756,7.383041409785264e-05
0.8,mu_a,0.8582212454212453,0.3993076923076923,1.0973282735496768e-09
0.9,mu_a_max,0.8499315018315018,0.3000183150183149,1.1240029490638414e-07
0.9,rf,0.8859644688644688,0.3089047619047619,5.804456565454911e-05
0.9,mu_a,0.8565688644688645,0.3865934065934065,8.77988571081618e-10
1.0,mu_a_max,0.8484421245421245,0.29117216117216116,8.648970874065358e-08
1.0,rf,0.8849970695970696,0.3085641025641026,4.732141599820195e-05
1.0,mu_a,0.8549968864468864,0.39632783882783884,5.995203151456199e-10
