k,mu_a,AUC,pAUC,AUC Difference P Value
0.0,mu_a_max,0.8586315374076721,0.27936249106504646,2.3377292268266893e-05
0.0,rf,0.8918811055515844,0.32637896116273524,3.673794742897303e-06
0.0,equity_return,0.8704884068977842,0.49930567965213235,3.502835003822685e-06
0.1,mu_a_max,0.8536841791756016,0.2900695437217059,7.704063065577723e-05
0.1,rf,0.8900624702168215,0.3069268227305218,9.930145863969288e-07
0.1,equity_return,0.8662688750893495,0.4693698624017154,6.314111042404111e-06
0.2,mu_a_max,0.8503499523469145,0.2979025196568978,0.0001277812169157069
0.2,rf,0.8885022039552061,0.3124739397188468,5.041421542923191e-07
0.2,equity_return,0.8628037884203001,0.4829491303311889,6.1275988944640114e-06
0.3,mu_a_max,0.8474665683821777,0.2839602692399333,0.00019108770602602513
0.3,rf,0.88715712115797,0.3059663152251608,3.9233570681024114e-07
0.3,equity_return,0.8596026551703599,0.49541525196568975,6.481471152601538e-06
0.4,mu_a_max,0.8448419257803192,0.2930143554920181,0.00020995138700271129
0.4,rf,0.8859039939242315,0.31335254348344055,4.487565152409143e-07
0.4,equity_return,0.856676644031451,0.4801197283774124,3.5848452167513137e-06
0.5,mu_a_max,0.8425061800095306,0.29587726352156296,
0.5,rf,0.884812812723374,0.2977573266619014,
0.5,equity_return,0.8539127650702885,0.4388253514415058,
0.6,mu_a_max,0.8404913479866573,0.2774489218489397,0.00019581081729173715
0.6,rf,0.8838061412913986,0.3034905885156064,7.165838805584344e-08
0.6,equity_return,0.8514824577078866,0.40433643078389325,3.324666273485689e-06
0.7,mu_a_max,0.8385520907791278,0.2800810102454134,0.00013809912753887584
0.7,rf,0.8828653651417679,0.30755971527281395,6.25938868861004e-08
0.7,equity_return,0.8493719472242077,0.3897091672623301,5.450171406184775e-06
0.8,mu_a_max,0.8367449964260186,0.2816334584226828,0.00011820659236327775
0.8,rf,0.8819986746485586,0.30642795449130333,4.8423704402688406e-08
0.8,equity_return,0.8471955414581844,0.4011384619966643,2.360206423545116e-06
0.9,mu_a_max,0.8350376757207528,0.2831226173457231,0.00011405766195621953
0.9,rf,0.8811777757922324,0.2640799976173457,5.017501944251999e-08
0.9,equity_return,0.8451996962115796,0.40885975101262806,1.8309393545676003e-06
1.0,mu_a_max,0.8335444216106742,0.28470484870145346,9.958758543136978e-05
1.0,rf,0.8804123481057898,0.265513313080772,4.04439035930726e-08
1.0,equity_return,0.8434158699666429,0.42007125625446745,1.431904184256261e-06
