k,mu_a,mean_default,median_default,min_default,max_default,mean_non_default,median_non_default,min_non_default,max_non_default,ttest_pval
0.0,mu_a_max,0.3902987266718543,0.2396645319259603,6.102194760856015e-48,0.9998937109170604,0.060622618191546775,2.1684499058024895e-09,0.0,1.0,8.300419301017522e-18
0.0,rf,0.42610725697191615,0.356901307862072,2.0223103193978634e-09,0.9998949436214374,0.0646364399943672,9.125361895858565e-08,0.0,1.0,6.059512666375392e-21
0.0,equity_return,0.638977517536262,0.996333787224928,2.4756903272421018e-48,1.0,0.10566269645151295,8.373579331841984e-09,0.0,1.0,8.359203288547705e-27
0.1,mu_a_max,0.3909303651399413,0.2238006203273365,3.3581637463464954e-51,0.9999022804341634,0.061758772575634384,5.4636154761923614e-09,0.0,1.0,1.0072422909110984e-17
0.1,rf,0.42838739364064526,0.35693534330447435,2.025397528903371e-09,0.9999022804353084,0.06606924571978859,2.464553424606526e-07,0.0,1.0,4.846774126173642e-21
0.1,equity_return,0.6441787924183637,0.9963703467835234,3.358159853212329e-51,1.0,0.11069792076934248,2.16957269388078e-08,0.0,1.0,6.676183794763316e-27
0.2,mu_a_max,0.391633375643476,0.22763260297615234,1.9273530841565015e-54,0.9999083958591716,0.06259506422111774,1.1321453837896173e-08,0.0,1.0,1.0559482276760807e-17
0.2,rf,0.43006463929613525,0.3599767958950424,2.025397531992875e-09,0.9999083958591716,0.067145500957632,4.979713326417494e-07,0.0,1.0,4.0873205051330726e-21
0.2,equity_return,0.6485400438179261,0.9963732411074822,1.927353084153724e-54,1.0,0.11500137395763316,4.459558920019772e-08,0.0,1.0,5.910163915808193e-27
0.3,mu_a_max,0.392161014275142,0.233397149283341,5.791486199811796e-58,0.9999135972942456,0.06322632663360273,1.9781874961977645e-08,0.0,1.0,1.0982836180353624e-17
0.3,rf,0.43141335697556304,0.3654292805094975,2.025397531992875e-09,0.9999135972942456,0.06799111261770246,9.089475053865412e-07,0.0,1.0,3.548150935250259e-21
0.3,equity_return,0.652251133987036,0.9963761314512964,5.791486199811796e-58,1.0,0.11876818151870973,7.444650615683833e-08,0.0,1.0,5.665265253452402e-27
0.4,mu_a_max,0.3972970387290436,0.2435674505240387,1.0212010723336592e-61,0.9999994805915552,0.06384058169346571,3.009312405018804e-08,0.0,1.0,5.493182733959491e-18
0.4,rf,0.43694186572530685,0.383092360106575,2.025397531992875e-09,0.9999994805915552,0.06880006956493935,1.4851329074649116e-06,0.0,1.0,1.4794937719968387e-21
0.4,equity_return,0.6580853989893732,0.9965610381164008,1.0212010723336592e-61,1.0,0.12224727369171366,1.1703283556275603e-07,0.0,1.0,2.2625308795293315e-27
0.5,mu_a_max,0.3976532152799414,0.2489904710642413,1.4957385033616356e-69,0.9999995274528422,0.0643333191451503,4.4883023212299375e-08,0.0,1.0,5.713450922485301e-18
0.5,rf,0.4379047575006094,0.3919870919435295,2.025397531992875e-09,0.9999995274528422,0.06947247127467274,2.172304606414889e-06,0.0,1.0,1.3529745051287476e-21
0.5,equity_return,0.6607555002039002,0.9974937500439562,1.4957385033616356e-69,1.0,0.12539248718333731,1.670364280819464e-07,0.0,1.0,2.464422702377373e-27
0.6,mu_a_max,0.39795738072401604,0.2533849370556876,2.3142361456638766e-80,0.9999995642372382,0.06472281906590645,6.356236329284125e-08,0.0,1.0,5.884147946342984e-18
0.6,rf,0.4387468299597001,0.4000944218696385,2.025397531992875e-09,0.9999995642372382,0.07002929195153855,3.0750213975224556e-06,0.0,1.0,1.2457433593537268e-21
0.6,equity_return,0.6630224480374401,0.999128577009638,2.3142361456638766e-80,1.0,0.12826249976037277,2.1942782311894338e-07,0.0,1.0,2.7703548644083836e-27
0.7,mu_a_max,0.39821959888380737,0.2570195317770175,5.378936973773176e-92,0.9999995940778306,0.06506617004142301,8.26437059060163e-08,0.0,1.0,6.0519559791999456e-18
0.7,rf,0.43949322867455826,0.4075222094170461,2.025397531992875e-09,0.9999995940778306,0.07052932071311863,4.082722748791856e-06,0.0,1.0,1.160381094166169e-21
0.7,equity_return,0.6649484488330846,0.9994822513102568,5.378936973773176e-92,1.0,0.1309436146942998,2.875437062215136e-07,0.0,1.0,3.194493577644086e-27
0.8,mu_a_max,0.3984475654438124,0.2586125183447869,1.882397447187846e-104,0.9999996188977132,0.065415792416711,1.065526211573595e-07,0.0,1.0,6.265328056342466e-18
0.8,rf,0.44016190610986056,0.4143586161659787,2.025397531992875e-09,0.9999996188977132,0.07102617463504614,5.494931265642912e-06,0.0,1.0,1.0994295784902063e-21
0.8,equity_return,0.6665935140624935,0.9996094222071882,1.882397447187846e-104,1.0,0.13350985900579815,3.694555426145607e-07,0.0,1.0,3.767409086959924e-27
0.9,mu_a_max,0.39864765175952344,0.2480828099137526,9.933717065218092e-118,0.999999639950581,0.06573437533332763,1.2866769315887288e-07,0.0,1.0,6.480711248275824e-18
0.9,rf,0.44076618697849484,0.4206765280349568,2.025397531992875e-09,0.999999639950581,0.07148393596793622,7.08553335630135e-06,0.0,1.0,1.0496335214857102e-21
0.9,equity_return,0.6680129970335715,0.9997315451055282,9.933717065218092e-118,1.0,0.13594462089031434,4.65138227868233e-07,0.0,1.0,4.490505080039536e-27
1.0,mu_a_max,0.3988251330725222,0.2390246172905483,7.91313172175032e-132,0.9999996580928978,0.06598220807032028,1.5433379553598922e-07,0.0,1.0,6.6464995418901005e-18
1.0,rf,0.4413162596977971,0.4265368155367882,2.025397531992875e-09,0.9999996580928978,0.07186405857363798,8.972074036088663e-06,0.0,1.0,1.000510042181757e-21
1.0,equity_return,0.6692546535454995,0.9997607674843388,7.91313172175032e-132,1.0,0.13822442238536448,5.692567197057606e-07,0.0,1.0,5.3556364652396786e-27
