k,mu_a,AUC,pAUC,AUC Difference P Value
0.0,mu_a_max,0.8919741920405448,0.3277720505017681,0.036395171479522294
0.0,rf,0.8917116247272653,0.28315436651880693,0.3524202801052876
0.0,mu_a,0.903505380560149,0.4879161007201961,0.03197265495787297
0.1,mu_a_max,0.8901449126448117,0.32795539114538225,0.5679152897635019
0.1,rf,0.8901341448211997,0.2783219773856195,0.9135560355453878
0.1,mu_a,0.9010835707173627,0.4941192925782507,0.4425900789224795
0.2,mu_a_max,0.8885049143296446,0.3343926987502621,0.7734509887206404
0.2,rf,0.8877248536676533,0.2725881425776904,0.2683472188363153
0.2,mu_a,0.8992689110496229,0.4746105224422954,0.9722938377919235
0.3,mu_a_max,0.886732050325681,0.33220299115882884,0.2848585241331456
0.3,rf,0.8878304683835687,0.27017632517516654,0.28073028245271403
0.3,mu_a,0.8975964091646909,0.48882217368266856,0.5028252044649089
0.4,mu_a_max,0.8873986173764309,0.3329024619772015,0.37865353683404745
0.4,rf,0.8885459721286203,0.2709957302890549,0.3671938594590921
0.4,mu_a,0.897739079701004,0.4943905516887549,0.4555881182164435
0.5,mu_a_max,0.8891041731031821,0.336480355887951,
0.5,rf,0.8903450365860882,0.27560075701426784,
0.5,mu_a,0.89918143029914,0.49036218506429574,
0.6,mu_a_max,0.8888946320060637,0.33630689512895173,0.7373647474352161
0.6,rf,0.8902465629006981,0.27460651546124404,0.890184178208687
0.6,mu_a,0.8995663831198144,0.49148811672490883,0.783042655906103
0.7,mu_a_max,0.8881944983599892,0.33355165793968533,0.15784214961864051
0.7,rf,0.8895778197740963,0.266379072813599,0.2906441006331517
0.7,mu_a,0.8986774061095806,0.4951785662831704,0.7230176824971174
0.8,mu_a_max,0.8874265937079293,0.33179854119876867,0.013897698893572345
0.8,rf,0.8888122037535358,0.27041744438450366,0.042943152940432286
0.8,mu_a,0.8976683822481835,0.49188818952089913,0.2977746144287443
0.9,mu_a_max,0.8868522847695902,0.33293735422793025,0.0021729981151361504
0.9,rf,0.8882238128530746,0.2731382895703636,0.008340828903374169
0.9,mu_a,0.896841911140868,0.4928332817745093,0.1165825404809245
1.0,mu_a_max,0.8861879813379736,0.33469497319474745,0.00024248475672971524
1.0,rf,0.887578843980464,0.2692088468538845,0.001280438294907781
1.0,mu_a,0.89600741106403,0.48888720583456463,0.03839100894073589
