k,mu_a,mean_default,median_default,min_default,max_default,mean_non_default,median_non_default,min_non_default,max_non_default,ttest_pval
0.0,mu_a_max,0.4113729294661993,0.4818243127263151,1.3065109952024194e-41,1.0,0.07140536062537085,1.2799007183210817e-06,0.0,1.0,1.5423083835981222e-175
0.0,rf,0.43336076717552685,0.5036478442765902,2.1434394492818284e-26,1.0,0.08393545315231607,1.4065246591706993e-05,0.0,1.0,9.577499006974094e-192
0.0,mu_a,0.7187096132380123,0.9405479435032356,1.7414726327672904e-150,1.0,0.10549312951074007,2.7962968732459007e-06,0.0,1.0,8.736246948216536e-211
0.1,mu_a_max,0.4145203544732547,0.4832279813505247,1.7473622189797022e-42,1.0,0.07309251932147302,2.790160698003906e-06,0.0,1.0,1.3553084815384152e-180
0.1,rf,0.4366392368968236,0.5060408075370654,1.3411507075216494e-38,1.0,0.08615541762755537,2.7998527383520405e-05,0.0,1.0,9.312300033586024e-198
0.1,mu_a,0.7246812222752871,0.9454933095383647,4.755581454271407e-151,1.0,0.10927368816784823,5.929720740180225e-06,0.0,1.0,3.878329443723604e-213
0.2,mu_a_max,0.41808797175318946,0.4863125282100938,1.3431136732370672e-43,1.0,0.07454294406921716,5.120047576446401e-06,0.0,1.0,3.505398839294541e-184
0.2,rf,0.43929996037329355,0.5079289686425772,2.2098506797774403e-47,1.0,0.08815516857275671,4.925305634415472e-05,0.0,1.0,5.35087435119993e-202
0.2,mu_a,0.7301033378478816,0.9499213297127672,3.22112156716648e-156,1.0,0.11257896878030249,1.0483610300068233e-05,0.0,1.0,2.1890686417797632e-215
0.3,mu_a_max,0.42015263035011857,0.4897457574753436,1.3519154290578417e-142,1.0,0.07582755504996345,8.422466866780446e-06,0.0,1.0,2.4282530266294144e-187
0.3,rf,0.4444529943112006,0.5117412812448888,1.3519154290578417e-142,1.0,0.09002040391910443,7.70048774467932e-05,0.0,1.0,3.3028003993404535e-207
0.3,mu_a,0.7339749578550235,0.9554182566324028,0.0,1.0,0.11557519703010288,1.712838270488398e-05,0.0,1.0,1.3179977322134743e-216
0.4,mu_a_max,0.4236632167166896,0.49228588404103124,3.7095554869944296e-258,1.0,0.07706575214703952,1.2601731605272083e-05,0.0,1.0,2.7655720427553513e-189
0.4,rf,0.44806073288380005,0.5144720257597346,3.7095554869944296e-258,1.0,0.091887635626897,0.0001155209722062,0.0,1.0,5.26077231802229e-210
0.4,mu_a,0.7375206613172949,0.9579791411595698,0.0,1.0,0.11836708632322647,2.5416145452341752e-05,0.0,1.0,5.528915573307082e-218
0.5,mu_a_max,0.4286157290048259,0.4958507898336912,0.0,1.0,0.07832379306553162,1.7803285582812886e-05,0.0,1.0,1.2983931849710291e-191
0.5,rf,0.4532823874040139,0.5196708851412724,0.0,1.0,0.09369206294963517,0.000166623640693,0.0,1.0,2.8056558589950006e-213
0.5,mu_a,0.7427027232699295,0.9590545015616904,0.0,1.0,0.12103822054527104,3.643367170171515e-05,0.0,1.0,1.5189086626688036e-220
0.6,mu_a_max,0.4315582509636507,0.5001846838420473,5.102825005923742e-49,1.0,0.07941615319891988,2.4895666159542288e-05,0.0,1.0,2.0703690755497217e-194
0.6,rf,0.4564559343403645,0.5234660156237105,6.6191057204773e-30,1.0,0.09533252008062583,0.0002296215169883,0.0,1.0,6.778186716105686e-217
0.6,mu_a,0.7464189604257828,0.963021978586845,4.7142557578103535e-179,1.0,0.12345918042170499,5.011291220160146e-05,0.0,1.0,2.876097428305152e-222
0.7,mu_a_max,0.4334766087306675,0.5004946409811267,1.8294638022201046e-50,1.0,0.08050468774712545,3.333623673954603e-05,0.0,1.0,4.0498361677017676e-196
0.7,rf,0.4585913783119411,0.5245343722633327,1.0286501599983067e-30,1.0,0.09697884300452828,0.000303811058099,0.0,1.0,3.9956801074711296e-219
0.7,mu_a,0.7484617337300153,0.9630078306419082,2.343662587302668e-185,1.0,0.1257775110202036,6.49183817063706e-05,0.0,1.0,1.0586321495704167e-222
0.8,mu_a_max,0.4357157647981227,0.5037266741513172,6.4408547505041706e-52,1.0,0.08161902597233811,4.3719161714931735e-05,0.0,1.0,9.764367051620595e-198
0.8,rf,0.46107375236851506,0.5272443596947389,1.4920141436461614e-31,1.0,0.09863825392203206,0.0003896670913988,0.0,1.0,2.5602007856500027e-221
0.8,mu_a,0.7512422269277318,0.9645693498997492,6.365294436821595e-192,1.0,0.12804294848013706,8.37994727464823e-05,0.0,1.0,1.4621322517089433e-223
0.9,mu_a_max,0.43499005705597743,0.5046945774671407,2.263948338583576e-53,1.0,0.08258112910884095,5.609892145582364e-05,0.0,1.0,9.289865446199182e-198
0.9,rf,0.4604870634397795,0.5277327190258805,1.8765835133759327e-40,1.0,0.10015320199803696,0.000487292972261,0.0,1.0,3.6952355508093447e-221
0.9,mu_a,0.7502171913517179,0.9647439073474661,0.0,1.0,0.13009304879155073,0.0001047030404052,0.0,1.0,2.2232678460212556e-222
1.0,mu_a_max,0.43728387258556217,0.506282784133097,8.042177532112419e-55,1.0,0.08366333625647993,7.147624376786617e-05,0.0,1.0,4.128131755028751e-200
1.0,rf,0.4630229755533519,0.5298854728484435,2.5166819712803066e-33,1.0,0.10179315064711784,0.0006163626461324499,0.0,1.0,3.4261991640368746e-224
1.0,mu_a,0.7536279295376435,0.9652824046654962,6.736179171666432e-206,1.0,0.13220932232930863,0.000131680669176,0.0,1.0,4.1051667297996807e-224
