k,mu_a,AUC,pAUC,AUC Difference P Value
0.0,mu_a_max,0.8828003085016485,0.4035230321941882,4.745381963428693e-07
0.0,rf,0.9059410534884268,0.43147980963506366,0.47667002055227947
0.0,equity_return,0.891705542901979,0.5616061594203504,0.00011018564002982534
0.1,mu_a_max,0.8807802882228543,0.40125837548142074,2.0676310594745824e-08
0.1,rf,0.9072853276274909,0.4280061840790787,4.101416138068664e-07
0.1,equity_return,0.8906035641783814,0.5564043605594343,3.308927884765717e-06
0.2,mu_a_max,0.8796163003780911,0.3896182183411108,3.4695701215360018e-09
0.2,rf,0.9066975926359138,0.4304662043601024,1.2121499598006114e-09
0.2,equity_return,0.8894798334911569,0.5607420727678848,5.499334573589753e-12
0.3,mu_a_max,0.8783660850183231,0.3973098575997459,4.592748688953167e-09
0.3,rf,0.9060450337271093,0.4235189532481325,2.5449118978923123e-11
0.3,equity_return,0.8878341392846929,0.54499217403087,1.4779464916697273e-13
0.4,mu_a_max,0.8771954364185227,0.3789543216567232,1.0820326561250618e-08
0.4,rf,0.9054064791254445,0.4229504201821658,3.6162387960872653e-12
0.4,equity_return,0.8861310065170052,0.5528386270729092,7.161763033029406e-12
0.5,mu_a_max,0.8761444027167186,0.39089853251025347,
0.5,rf,0.9048102858110478,0.4220686365445585,
0.5,equity_return,0.8843540619931801,0.5534673577576252,1.0
0.6,mu_a_max,0.8751344483158572,0.3918572353273739,5.82719182235218e-09
0.6,rf,0.9042290164896328,0.4203072988107794,6.870671322579697e-15
0.6,equity_return,0.8814409570886291,0.5454662302785215,0.03540882446949968
0.7,mu_a_max,0.8741970097501747,0.3932821909971228,8.826725366932155e-09
0.7,rf,0.9037032627499534,0.42088224180837214,1.375128672419781e-15
0.7,equity_return,0.880052607702319,0.5399219181146283,0.002579583661348396
0.8,mu_a_max,0.873315978582802,0.3830299234002023,1.0182240596594647e-08
0.8,rf,0.9031970732363672,0.4180576915026991,2.0272823055100696e-16
0.8,equity_return,0.8787409406067439,0.5450055512794808,0.00015682790406708487
0.9,mu_a_max,0.8724841366733425,0.38091548204162895,1.3502734835585355e-08
0.9,rf,0.9027287301886432,0.4168437061912526,6.632097250776466e-17
0.9,equity_return,0.8775697067523165,0.5229704358904,1.4582184632112911e-05
1.0,mu_a_max,0.8716952691750456,0.38863499056820355,1.4575329948968435e-08
1.0,rf,0.9022675077388775,0.41418553541517883,1.5080747518990986e-17
1.0,equity_return,0.8765722935220284,0.5302996353194813,3.4357862303865444e-06
