k,mu_a,mean_default,median_default,min_default,max_default,mean_non_default,median_non_default,min_non_default,max_non_default,ttest_pval
0.0,mu_a_max,0.40173580327359093,0.3474998664959049,0.0,1.0,0.052246731517460725,2.804914482256719e-08,0.0,1.0,5.408902787117031e-114
0.0,rf,0.4312215276842726,0.39372404497354285,0.0,1.0,0.05402537655874069,8.632708405037246e-07,0.0,1.0,6.95696502629688e-131
0.0,equity_return,0.6959435580213462,0.9893346858130152,0.0,1.0,0.09116516818166127,6.169847225005577e-08,0.0,1.0,6.157003563843822e-173
0.1,mu_a_max,0.40964894018042364,0.3575820022229229,0.0,1.0,0.054508383987932695,4.676550160842357e-08,0.0,1.0,2.5161249829003193e-118
0.1,rf,0.435606128504231,0.3983310322419355,0.0,1.0,0.0551806562534063,1.6475936419243802e-06,0.0,1.0,4.708069859610379e-134
0.1,equity_return,0.7046141518266638,0.9928153286254352,0.0,1.0,0.09475235602635296,1.18228090438538e-07,0.0,1.0,1.2260120568342284e-175
0.2,mu_a_max,0.41337561194571676,0.3647138114823185,0.0,1.0,0.055276579459583086,7.336095768141906e-08,0.0,1.0,3.257839524408054e-120
0.2,rf,0.4392859792613827,0.40535932795260676,0.0,1.0,0.05612683872666803,2.587491319234465e-06,0.0,1.0,4.328508068818137e-136
0.2,equity_return,0.7112697246777492,0.9948648908926293,0.0,1.0,0.09795907178768046,1.8190023482460882e-07,0.0,1.0,3.418171539219502e-178
0.3,mu_a_max,0.4146777008515479,0.3725463817653215,0.0,1.0,0.055867690212763756,1.081079402060214e-07,0.0,1.0,1.0086941790837706e-120
0.3,rf,0.4411370520951467,0.4092510439957776,0.0,1.0,0.056864462742763605,3.850153900376077e-06,0.0,1.0,4.557619131148387e-137
0.3,equity_return,0.7193483755496125,0.9961912247861922,0.0,1.0,0.10083469199254777,2.845639689447999e-07,0.0,1.0,1.970650456447176e-180
0.4,mu_a_max,0.4186442996247542,0.3773778150110621,0.0,1.0,0.05649389840195866,1.4559072479929724e-07,0.0,1.0,1.7530774422834957e-122
0.4,rf,0.4448787753509344,0.41367992830497946,0.0,1.0,0.05758455860951355,5.388816728118681e-06,0.0,1.0,3.374945036761705e-139
0.4,equity_return,0.7222308319165184,0.996671171558746,0.0,1.0,0.10354948033530366,3.937780360212709e-07,0.0,1.0,3.566414081464434e-182
0.5,mu_a_max,0.4207756116438919,0.37873073140291125,0.0,1.0,0.05696602270640833,1.8945289052446008e-07,0.0,1.0,4.0937016981175196e-123
0.5,rf,0.4471839177269548,0.41719067499950757,0.0,1.0,0.058183033967581656,7.308568892780909e-06,0.0,1.0,3.7654784747373083e-140
0.5,equity_return,0.7244951963855099,0.997217243456106,0.0,1.0,0.10595281631536005,5.012056381392361e-07,0.0,1.0,1.7824082802045427e-182
0.6,mu_a_max,0.4209413773369311,0.3776173010315277,0.0,1.0,0.057342980721282986,2.378033788886853e-07,0.0,1.0,7.621741513930684e-123
0.6,rf,0.4476356155706387,0.41761685087952705,0.0,1.0,0.058655404407668504,9.26139142554723e-06,0.0,1.0,4.095960863568536e-140
0.6,equity_return,0.7260937522925037,0.9982290388423907,0.0,1.0,0.10815446040811068,6.178774993686542e-07,0.0,1.0,2.9318642113949276e-181
0.7,mu_a_max,0.42155746287146456,0.379133640292888,0.0,1.0,0.05772916404244114,2.92116919630512e-07,0.0,1.0,4.960428778225881e-123
0.7,rf,0.4484300129854521,0.4175442395667518,0.0,1.0,0.0591339462289667,1.179072531552452e-05,0.0,1.0,1.7836322951701524e-140
0.7,equity_return,0.7286572803971513,0.9987575202695974,0.0,1.0,0.11028140114590779,7.376349961878913e-07,0.0,1.0,5.109948229330115e-182
0.8,mu_a_max,0.42351498679166344,0.379133640292888,0.0,1.0,0.058130378594296116,3.458049449781692e-07,0.0,1.0,1.5623764654706788e-123
0.8,rf,0.4505213001281219,0.4179219226688868,0.0,1.0,0.0596125160867409,1.4329011218824004e-05,0.0,1.0,3.9064883078741124e-141
0.8,equity_return,0.7308918642473664,0.999024184710464,0.0,1.0,0.11236683147319967,8.654755163204114e-07,0.0,1.0,1.2335743585744608e-182
0.9,mu_a_max,0.4235138003730384,0.3797160398375218,0.0,1.0,0.05840736243666662,3.955281697948168e-07,0.0,1.0,1.0331094562738386e-123
0.9,rf,0.45064319259240976,0.4191947548460836,0.0,1.0,0.05996357799842568,1.7081000491438007e-05,0.0,1.0,1.9732098929498303e-141
0.9,equity_return,0.7311942575660483,0.9990329696617752,0.0,1.0,0.11428302725886426,1.002477150927284e-06,0.0,1.0,1.5122282903885936e-182
1.0,mu_a_max,0.42411430593639465,0.3807664202260283,0.0,1.0,0.05872606524702398,4.634933938424023e-07,0.0,1.0,7.965569512975686e-124
1.0,rf,0.4515156453169038,0.422950770722494,0.0,1.0,0.060388043686826584,2.0317590487851248e-05,0.0,1.0,9.501995069795253e-142
1.0,equity_return,0.7341674838441337,0.999297966503024,0.0,1.0,0.11617857805347086,1.1656651768945672e-06,0.0,1.0,5.735926648322741e-183
