cusip,start_year,end_year,has_defaulted,pct_null_values
000307108,2011,2018,True,21.09375
000360206,1990,2024,False,2.857142857142857
00081T108,2003,2024,False,0.5681818181818182
000868109,2001,2024,False,38.28125
000899104,2012,2024,False,12.980769230769232
000973107,1994,2000,True,17.857142857142858
001055102,1985,2024,False,22.03125
001084102,1991,2024,False,2.0220588235294117
001228501,2011,2024,False,8.482142857142858
00123Q104,2008,2024,False,8.088235294117647
00130H105,1990,2024,False,2.142857142857143
001642107,1991,1999,True,38.88888888888889
00164V103,2010,2024,False,13.333333333333334
00165C302,2012,2024,False,1.4423076923076923
001744101,1999,2024,False,12.980769230769232
001813104,1998,2002,True,30.0
00182C103,2012,2024,False,12.980769230769232
001870104,1985,1988,True,43.75
00191U102,1991,2024,False,14.154411764705882
001944107,1993,1998,True,45.83333333333333
00206R102,1985,2024,False,2.8125
00208J108,1999,2011,True,13.461538461538462
002120202,2013,2024,False,13.541666666666666
002121101,2012,2024,False,7.211538461538461
00215F107,1990,2024,False,1.9642857142857142
00246W103,1996,2024,False,13.577586206896552
00252W104,1995,2004,True,15.0
002824100,1985,2024,False,2.65625
00287Y109,2010,2024,False,5.0
00289Y206,1986,2024,False,14.743589743589745
00374N107,1995,2011,True,28.308823529411764
003881307,1995,2024,False,1.4583333333333333
00404A109,2010,2024,False,12.916666666666668
004225108,2002,2024,False,13.043478260869565
004239109,1992,2024,False,13.257575757575758
004308102,1991,2003,True,51.442307692307686
00430H201,2013,2024,False,0.0
00444T209,2008,2024,False,13.602941176470587
004498101,2008,2024,False,12.5
00461U105,2013,2024,False,13.541666666666666
004724100,1985,2000,True,8.203125
004816104,1985,2024,False,2.65625
00486H105,1993,2024,False,1.5625
00489Q102,2005,2024,False,9.0625
00507W206,2012,2024,False,12.5
006739106,2007,2024,False,13.194444444444445
00676P107,2001,2024,False,1.5625
006847107,1998,2000,True,14.583333333333334
006848105,1998,2005,True,19.53125
006855100,2011,2015,True,30.0
00737L103,1985,1986,False,12.5
00751Y106,1999,2024,False,1.4423076923076923
00770C101,2001,2024,False,4.427083333333334
00770K202,2012,2024,False,12.5
00773J202,2014,2024,False,13.636363636363635
00773U207,2012,2024,False,13.461538461538462
007903107,1987,2024,False,2.138157894736842
007942204,1985,2008,True,21.614583333333336
007973100,1994,2024,False,1.6129032258064515
008252108,1995,2024,False,13.333333333333334
008474108,1985,2024,False,2.34375
00847G804,1998,2024,False,1.3888888888888888
00847X104,2011,2024,False,13.392857142857142
008492100,1993,2024,False,13.0859375
008875304,2013,2024,False,0.0
00901B105,1994,2024,False,13.709677419354838
00902F303,1995,2024,False,13.750000000000002
00912N403,2011,2024,False,2.232142857142857
00912X302,2010,2024,False,7.5
00922R105,2001,2024,False,1.5625
00971T101,1998,2024,False,13.425925925925927
009728106,1997,2019,True,0.5434782608695652
00972D105,2012,2024,False,13.461538461538462
011311107,1992,2024,False,1.893939393939394
011532108,2006,2024,False,0.0
011642105,2013,2024,False,13.541666666666666
011659109,1985,2024,False,2.65625
012348108,1986,2024,False,2.8846153846153846
012653101,1992,2024,False,2.840909090909091
014383103,1985,2005,True,22.61904761904762
01438T106,2012,2024,False,13.461538461538462
01446U103,2006,2024,False,43.75
014491104,2011,2024,False,4.464285714285714
015271109,1995,2024,False,14.791666666666666
015857105,2001,2024,False,1.5625
016255101,1998,2024,False,13.194444444444445
01741R102,1985,2024,False,3.75
01747T102,1997,2003,True,18.75
01748X102,2005,2024,False,0.9375
018522300,1985,2024,False,6.25
018581108,1999,2024,False,2.403846153846154
018802108,1985,2024,False,9.0625
01890A108,1995,2014,False,37.8125
019223106,1992,2006,True,15.833333333333332
