,cusip,missing_at_count,ever_defaulted
0,000307108,1,True
1,001642107,3,True
2,001870104,1,True
3,001944107,2,True
4,00374N107,5,True
5,006848105,2,True
6,006855100,1,True
7,00770C101,1,False
8,014383103,2,True
9,02155H200,2,False
10,023850100,2,True
11,023912108,7,True
12,024490302,2,True
13,025198938,4,True
14,02660R107,1,True
15,028816106,4,True
16,029050937,2,True
17,03074A102,8,False
18,032095101,1,False
19,035250109,1,True
20,03799X007,2,True
21,042744102,8,False
22,045487105,1,False
23,045919107,1,True
24,048556104,1,True
25,049164205,1,True
26,05164B106,1,True
27,05873K108,3,True
28,066849100,1,False
29,071625107,4,True
30,08170W932,4,True
31,08579X101,4,False
32,087866109,1,True
33,088667100,1,True
34,089698104,3,True
35,098904204,6,True
36,100578103,4,True
37,12514G108,1,False
38,12542A206,4,True
39,12740C103,6,False
40,14056D105,4,True
41,14068E208,1,False
42,15115M101,4,True
43,154760409,3,False
44,15644G104,1,True
45,156492100,1,False
46,159864107,1,False
47,16943W204,12,False
48,174740100,8,False
49,177835105,6,False
50,180461105,2,True
51,181475955,4,True
52,182728204,4,True
53,18539C204,1,False
54,195493309,3,True
55,203607106,8,False
56,204149108,1,False
57,20452C104,1,True
58,20453F106,2,True
59,20557T101,2,True
60,205768302,3,False
61,209232107,3,True
62,211914403,3,True
63,217213933,4,True
64,220873103,3,True
65,22161G103,4,True
66,22305A103,4,True
67,228622106,4,True
68,240028308,1,True
69,257701201,7,False
70,262497308,3,True
71,26817Q886,1,False
72,269524104,2,True
73,283712107,4,True
74,292104106,1,False
75,29255U104,1,True
76,29355X107,1,False
77,29482P100,3,True
78,301923108,3,True
79,302088109,1,True
80,302520101,8,False
81,30701A106,1,True
82,31567R209,4,True
83,317832103,2,True
84,318672706,5,False
85,318910106,6,False
86,319417101,1,True
87,320209109,3,False
88,320218100,8,False
89,320734106,8,False
90,320817109,4,False
91,336901103,3,False
92,33741H107,7,False
93,345206205,4,True
94,34552U104,2,True
95,358453306,3,True
96,35909D109,2,False
97,359523107,1,False
98,360271100,3,False
99,36113L101,1,True
100,366505105,3,True
101,36729W202,2,True
102,37246R932,4,True
103,37248E202,3,True
104,373678606,1,False
105,375422102,4,True
106,37637Q105,8,False
107,378762934,4,True
108,37891B109,1,True
109,37936U104,1,True
110,37951D300,1,True
111,388689101,2,False
112,40251W408,1,False
113,42099W939,3,True
114,422878934,3,True
115,422914101,1,True
116,431032101,2,True
117,43300A203,4,False
118,433323102,5,False
119,436934103,2,True
120,43738R109,2,True
121,44043U209,3,True
122,44862P208,5,False
123,44926L300,2,True
124,45071T402,1,True
125,45321T202,1,True
126,453836108,7,False
127,453838609,8,False
128,45687V106,2,False
129,457661106,2,True
130,45772G105,2,True
131,458751302,2,False
132,46268K006,4,True
133,464119106,4,True
134,46611Q403,4,True
135,48019R306,1,True
136,48282T104,1,False
137,485808109,3,True
138,488878109,2,True
139,489398107,4,False
140,492716105,4,True
141,498326206,3,True
142,50101L106,2,False
143,50218P107,3,True
144,51808R206,5,True
145,521098202,2,True
146,541424933,4,True
147,55270M108,3,True
148,553166109,1,True
149,558868105,1,False
150,573913100,2,True
151,576323109,1,False
152,577904501,1,True
153,578349102,2,True
154,583928106,4,False
155,584951107,4,True
156,589889104,1,False
157,59523F100,2,True
158,598126100,1,True
159,607415106,4,True
160,608712105,3,True
161,608753109,23,True
162,609023106,4,True
