,cusip,missing_at_count,ever_defaulted
0,000307108,1,True
1,001642107,3,True
2,001870104,1,True
3,001944107,2,True
4,00374N107,5,True
5,006848105,2,True
6,006855100,1,True
7,00770C101,1,False
8,014383103,2,True
9,02155H200,2,False
10,023850100,2,True
11,023912108,7,True
12,024490302,2,True
13,025198938,4,True
14,02660R107,1,True
15,028816106,4,True
16,029050937,2,True
17,03074A102,8,False
18,032095101,1,False
19,035250109,1,True
20,03799X007,3,True
21,03990B101,3,False
22,042744102,8,False
23,04544X300,1,True
24,045487105,1,False
25,045919107,1,True
26,048556104,1,True
27,049164205,1,True
28,05164B106,1,True
29,05873K108,3,True
30,066849100,1,False
31,071625107,4,True
32,077454106,1,False
33,08170W932,4,True
34,08579X101,4,False
35,087866109,1,True
36,088667100,1,True
37,089698104,3,True
38,098904204,6,True
39,099541203,6,True
40,099724106,1,False
41,100578103,4,True
42,12514G108,1,False
43,12542A206,4,True
44,12740C103,6,False
45,14056D105,4,True
46,14068E208,1,False
47,15115M101,4,True
48,154760409,3,False
49,15644G104,1,True
50,156492100,1,False
51,159864107,1,False
52,16943W204,12,False
53,174740100,8,False
54,177835105,6,False
55,180461105,2,True
56,181475955,4,True
57,182728204,4,True
58,18539C204,1,False
59,195493309,3,True
60,203607106,8,False
61,204149108,1,False
62,20452C104,1,True
63,20453F106,2,True
64,20557T101,2,True
65,205768302,3,False
66,209232107,3,True
67,211914403,3,True
68,217213933,4,True
69,218103109,1,True
70,220873103,3,True
71,22161G103,4,True
72,22305A103,4,True
73,228622106,4,True
74,240028308,1,True
75,257701201,7,False
76,262497308,3,True
77,26817Q886,1,False
78,269524104,2,True
79,283712107,4,True
80,292104106,1,False
81,29255U104,1,True
82,29355X107,1,False
83,294628102,1,False
84,29482P100,3,True
85,301923108,3,True
86,302088109,1,True
87,302520101,8,False
88,30701A106,1,True
89,31567R209,4,True
90,317832103,2,True
91,317928109,3,True
92,318672706,5,False
93,318910106,6,False
94,319417101,1,True
95,320209109,3,False
96,320218100,8,False
97,320734106,8,False
98,320817109,4,False
99,336901103,3,False
100,33741H107,7,False
101,345206205,4,True
102,34552U104,2,True
103,358453306,3,True
104,35909D109,2,False
105,359523107,1,False
106,360271100,3,False
107,36113L101,1,True
108,366505105,3,True
109,36729W202,2,True
110,37246R932,4,True
111,37248E202,3,True
112,373678606,1,False
113,375422102,4,True
114,37637Q105,8,False
115,378762934,4,True
116,37891B109,1,True
117,37936U104,1,True
118,37951D300,1,True
119,388689101,2,False
120,40251W408,1,False
121,403829104,10,False
122,42099W939,3,True
123,422878934,3,True
124,422914101,1,True
125,431032101,2,True
126,43300A203,4,False
127,433323102,5,False
128,436934103,2,True
129,43738R109,2,True
130,44043U209,3,True
131,44862P208,5,False
132,44926L300,2,True
133,45071T402,1,True
134,45321T202,1,True
135,453836108,7,False
136,453838609,8,False
137,45687V106,2,False
138,457661106,2,True
139,45772G105,2,True
140,458751302,2,False
141,46268K006,4,True
142,464119106,4,True
143,46611Q403,4,True
144,48019R306,3,True
145,48282T104,1,False
146,485808109,3,True
147,488878109,2,True
148,489398107,4,False
149,492716105,4,True
150,498326206,3,True
151,50101L106,2,False
152,50218P107,3,True
153,505743104,3,False
154,51808R206,5,True
155,521098202,2,True
156,541424933,4,True
157,55270M108,3,True
158,553166109,1,True
159,558868105,1,False
160,571903202,1,False
161,573913100,2,True
