,cusip,missing_at_count,ever_defaulted
0,000307108,1,True
1,000360206,11,False
2,000868109,24,False
3,000973107,5,True
4,001055102,18,False
5,001084102,8,False
6,00130H105,9,False
7,001642107,7,True
8,001870104,4,True
9,00191U102,8,False
10,001944107,6,True
11,00206R102,14,False
12,002121101,3,False
13,00215F107,8,False
14,00246W103,3,False
15,00252W104,3,True
16,002824100,14,False
17,00287Y109,1,False
18,00289Y206,12,False
19,00374N107,9,True
20,003881307,3,False
21,004239109,10,False
22,004308102,12,True
23,004724100,14,True
24,004816104,14,False
25,00486H105,5,False
26,006848105,2,True
27,006855100,1,True
28,00737L103,2,False
29,00770C101,1,False
30,007903107,12,False
31,007942204,16,True
32,007973100,5,False
33,008252108,7,False
34,008474108,13,False
35,008492100,9,False
36,00901B105,5,False
37,00902F303,4,False
38,009728106,2,True
39,011311107,7,False
40,011659109,14,False
41,012348108,13,False
42,012653101,7,False
43,014383103,14,True
44,01446U103,19,False
45,015271109,8,False
46,01741R102,14,False
47,01747T102,2,True
48,018522300,40,False
49,018802108,40,False
50,01890A108,20,False
51,019223106,7,True
52,019411107,13,True
53,019645506,13,True
54,020002101,11,False
55,02005N100,14,False
56,02146C104,4,True
57,02155H200,2,False
58,02156K103,14,False
59,02209S103,14,False
60,023135106,4,False
61,023139884,12,False
62,023426703,6,True
63,023436108,5,False
64,023608003,15,True
65,023608102,40,False
66,02376R102,14,False
67,023850100,2,True
68,023912108,24,True
69,024061103,2,False
70,024490302,15,True
71,024928103,5,True
72,025198938,5,True
73,025537101,40,False
74,025816109,18,False
75,025932104,18,False
76,026496208,9,True
77,02660R107,2,True
78,026874784,18,False
79,028816106,8,True
80,029050937,2,True
81,029174109,12,False
82,029595105,14,False
83,029899101,14,False
84,03027X100,3,False
85,030371108,13,False
86,030420103,20,False
87,03058P109,15,True
88,03074A102,40,False
89,03076K108,32,False
90,031001100,24,False
91,031100100,14,False
92,031162100,8,False
93,031652100,2,False
94,031909203,7,True
95,032037103,14,False
96,032095101,12,False
97,032345100,14,True
98,03304B300,13,True
99,034164103,14,False
100,035250109,6,True
101,035255108,2,False
102,035710839,6,False
103,03662Q105,4,False
104,036752103,4,False
105,037023108,5,True
106,03743Q108,14,False
107,03748R747,9,False
108,03783C100,1,False
109,03799X007,6,True
110,038336103,7,False
111,03837C106,14,False
112,03879J100,3,False
113,03937C105,14,False
114,03957W106,4,False
115,042735100,14,False
116,042744102,40,False
117,043113208,4,False
118,04544X300,5,True
119,04546C205,3,False
120,045487105,38,False
121,045919107,4,True
122,04621X108,1,False
123,046224101,14,False
124,046433108,14,False
125,047620109,13,True
126,048209100,6,False
127,048556104,14,True
128,04911A107,32,False
129,04914Y102,4,False
130,049164205,6,True
131,050473107,29,False
132,05164B106,3,True
133,052800109,4,False
134,05329W102,13,False
135,05336P108,8,True
136,05343P109,3,False
137,053611109,9,False
138,05368V106,7,False
139,053774105,5,False
140,05379B107,40,False
141,05453N100,4,False
142,05501X100,5,True
143,055298103,22,False
144,05534B760,14,False
145,055382931,9,True
146,055607105,14,True
147,05561Q201,34,False
148,055655104,8,True
149,05587G203,9,False
150,056525108,20,False
151,057665200,14,False
152,058498106,14,False
153,058586108,6,False
154,05873K108,14,True
155,05945F103,32,False
156,05969A105,22,False
157,05990K106,26,False
158,060505104,40,False
159,06211J100,13,False
160,062540109,40,False
161,063425102,26,False
162,064058100,40,False
163,06417N103,30,False
164,06643P104,22,False
165,06652K103,16,False
166,06652V208,26,False
167,06654A103,13,False
168,066849100,32,False
169,067901108,14,False
170,068463108,7,False
171,070121207,5,True
172,071625107,4,True
173,071734107,6,False
174,071813109,14,False
175,07272M107,12,False
176,07317Q105,5,False
177,073334104,7,True
178,077266104,1,True
179,077347300,14,False
180,077454106,7,False
181,08160H101,10,False
182,08170W932,4,True
183,084423102,16,False
184,084670702,18,False
185,084680107,26,False
186,08579X101,17,False
187,087509105,14,True
188,087866109,14,True
189,088667100,9,True
190,088774948,9,True
191,089698104,7,True
192,090572207,14,False
193,09058V103,6,False
194,09060C507,3,False
195,09062W204,2,False
196,09062X103,9,False
197,09175M804,3,False
198,09180C106,4,False
199,092113109,40,False
200,09257W100,12,False
201,09290D101,4,False
202,09627Y109,1,False
203,097023105,14,False
204,09857L108,2,False
205,098904204,7,True
206,099541203,12,True
207,099724106,7,False
208,100557107,7,False
209,100578103,10,True
210,101121101,8,False
211,101137107,13,False
212,103304101,1,False
213,109696104,14,False
214,110122108,14,False
215,111444709,31,False
216,11271J107,18,False
217,11373M107,30,False
218,115236101,14,False
219,117043109,14,False
220,119003101,5,True
221,120084108,13,True
222,123164105,14,True
223,12466Q104,26,False
224,12479G101,13,False
225,124805102,5,False
226,124830878,11,False
227,12504L109,1,False
228,125141101,6,False
229,12514G108,8,False
230,125185108,7,True
231,12520L109,27,False
232,12541W209,4,False
233,12542A206,9,True
234,125523100,18,False
235,12562N104,5,False
236,12572Q105,3,False
237,125896100,40,False
238,125919308,7,False
239,12599M939,12,True
240,126117100,18,False
241,126128107,27,False
242,12619F104,13,False
243,12621E103,18,True
244,126349109,4,False
245,126408103,14,False
246,126501105,14,False
247,126600105,40,False
248,126601103,13,False
249,126650100,14,False
250,127097103,8,False
251,127387108,13,False
252,12740C103,40,False
253,129915203,10,True
254,130788102,14,False
255,13100M509,1,False
256,131193104,8,False
257,133034108,27,False
258,133131102,9,False
259,13321L108,11,False
260,136375102,13,False
261,136385101,14,False
262,13646K108,14,False
263,13811E101,4,False
264,139380109,7,True
265,139674105,32,False
266,140065202,12,True
267,14040H105,10,False
268,140475203,4,False
269,14056D105,24,True
270,14068E208,15,False
271,140909102,8,True
272,141649301,9,True
273,141706309,9,True
274,14216R101,2,False
275,142339100,14,False
276,143436400,13,True
277,143763100,10,True
278,143905107,4,False
279,146103106,16,False
280,14808P109,4,False
281,14888U101,5,False
282,149123101,14,False
283,149150104,36,False
284,15101Q207,2,False
285,15115M101,7,True
286,15135B101,3,False
287,15189T107,40,False
288,153435102,3,True
289,153527205,3,False
290,154760409,40,False
291,156431108,4,False
292,15644G104,1,True
293,156492100,7,False
294,15670S402,4,True
295,157085101,3,False
296,158496109,7,True
297,159765205,4,False
298,159864107,1,False
299,16115Q308,8,True
300,163072101,8,False
301,16359R103,14,False
302,163893209,14,True
303,164024101,18,False
304,16411R208,1,False
305,165159104,14,True
306,165167735,1,False
307,165303108,40,False
308,166764100,14,False
309,168088102,14,False
310,168910206,6,True
311,16943W204,12,False
312,169656105,6,False
313,169905106,2,False
314,170032809,14,True
315,170386106,17,False
316,171340102,14,False
317,171484108,6,False
318,172062101,18,False
319,172922106,26,False
320,172936106,9,True
321,172967424,18,False
322,174610105,13,False
323,174615104,24,False
324,174740100,18,False
325,174903104,6,False
326,177835105,38,False
327,178867107,26,False
328,17888H103,1,False
329,180461105,2,True
330,181475955,6,True
331,182728204,4,True
332,184496107,8,False
333,18539C204,15,False
334,185899101,14,False
335,191098102,14,False
336,191216100,14,False
337,192108504,14,False
338,192422103,10,False
339,192446102,3,False
340,19247A100,2,False
341,192481208,10,True
342,192576106,14,False
343,194162103,14,False
344,194830204,3,True
345,195493309,24,True
346,19623P101,27,False
347,196267009,8,True
348,19699Y937,7,True
349,197236102,27,False
350,197648009,20,True
351,198516106,3,False
352,199908104,2,False
353,20030N101,14,False
354,200340107,40,False
355,200525103,40,False
356,203607106,40,False
357,203937107,24,False
358,204149108,38,False
359,20452C104,5,True
360,20453F106,5,True
361,20557T101,12,True
362,20563P101,5,False
363,205768302,3,False
364,206814105,14,True
365,207410101,13,False
366,20786W107,27,False
367,20825C104,14,False
368,209115104,40,False
369,209232107,7,True
370,210502100,3,False
371,21099Y004,8,True
372,211914403,3,True
373,216844100,15,True
374,217213933,7,True
375,218103109,5,True
376,21867A105,5,False
377,218683100,11,False
378,21871N101,4,False
379,219350105,14,False
380,22002T108,11,False
381,220873103,24,True
382,22112H101,4,False
383,22160N109,3,False
384,22161G103,7,True
385,22281N103,14,True
386,22284P105,6,False
387,22305A103,4,True
388,224408104,15,False
389,224633206,14,False
390,225310101,11,False
391,226603504,12,True
392,22822V101,3,False
393,228368106,14,False
394,228439105,6,True
395,228622106,9,True
396,228903100,6,False
397,229070107,8,True
398,229241104,14,True
399,22948Q101,18,False
400,229899109,40,False
401,231021106,14,False
402,231082801,2,False
403,231561101,14,False
404,23204G100,15,False
405,23291C103,4,False
406,23331A109,2,False
407,233331107,40,False
408,233377407,4,False
409,23380G106,2,True
410,235774106,6,True
411,235825205,14,False
412,235851102,14,False
413,237266101,6,False
414,237690102,14,False
415,23918K108,4,False
416,239467103,13,False
417,240028308,5,True
418,242370203,4,True
419,243537107,7,False
420,247918105,6,True
421,248019101,14,False
422,248356107,2,False
423,24869P104,10,False
424,24906P109,6,False
425,25179M103,11,False
426,25213A107,3,True
427,253651202,15,False
428,253868103,1,False
429,25432X102,22,False
430,254423106,9,False
431,254543101,9,False
432,25525P107,4,False
433,256677105,3,False
434,256746108,5,False
435,25746U109,40,False
436,257701201,16,False
437,25811P852,14,True
438,258278100,9,False
439,260003108,14,False
440,260547005,13,True
441,261018105,23,True
442,262497308,9,True
443,264147109,14,False
444,26441C204,40,False
445,26484T106,14,False
446,265903104,4,True
447,26614N102,14,False
448,266605500,5,False
449,26817Q886,11,False
450,26874E107,4,True
451,26875P101,10,False
452,26884L109,40,False
453,26884U109,6,False
454,268948106,26,False
455,269153102,1,True
456,26942G100,10,False
457,26951R104,16,False
458,269524104,6,True
459,27579R104,28,False
460,276191004,6,True
461,276317104,14,False
462,277276101,15,False
463,277432100,7,False
464,277461406,14,False
465,278642103,3,False
466,278865100,12,False
467,279862106,4,True
468,281020107,40,False
469,281067306,12,True
470,28199A000,5,True
471,28238P109,8,False
472,283677854,35,True
473,283712107,6,True
474,284902509,4,False
475,285233102,14,False
476,29084Q100,14,True
477,291087203,3,True
478,292104106,1,False
479,29250N105,14,False
480,292554102,4,False
481,29255U104,3,True
482,29261A100,14,False
483,292671708,1,False
484,29267A203,6,True
485,29268T508,7,False
486,29355X107,1,False
487,293561106,14,True
488,29364G103,40,False
489,293668109,23,False
490,293712105,27,False
491,293792107,3,False
492,29399X006,40,True
493,29402E102,14,False
494,294429105,14,False
495,29460X109,12,False
496,294628102,16,False
497,29476L107,10,False
498,29482P100,3,True
499,29530P102,6,False
500,296056104,14,False
501,29670G102,14,False
502,298736109,2,False
503,29911Q208,26,False
504,299209106,1,True
505,30034W106,40,False
506,30040W108,40,False
507,30049A107,4,False
508,30161N101,40,False
509,301923108,8,True
510,302088109,4,True
511,302130109,14,False
512,30214U102,6,False
513,30225T102,1,False
514,30231G102,14,False
515,302491303,14,False
516,302520101,40,False
517,302543103,5,True
518,30263Y104,15,False
519,302941109,4,False
520,30329Y304,5,False
521,304231301,13,True
522,30701A106,7,True
523,30779N105,15,False
524,309627107,30,False
525,311642102,3,False
526,311900104,12,False
