,cusip,fyear,at,ch,ceq,csho,lct,dd1,dltt,dt,gp,ebit,sale,default_status,prcc_c,expected_return,volatility,rf
count,62513,62513.0,61665.0,59816.0,61601.0,53024.0,46226.0,57063.0,61445.0,41597.0,53496.0,53489.0,53500.0,745,58697.0,43491.0,43484.0,62513.0
unique,2724,,,,,,,,,,,,,1,,,,
top,001055102,,,,,,,,,,,,,D,,,,
freq,40,,,,,,,,,,,,,745,,,,
mean,,2008.2898597091805,15121.913657261006,624.3605531797513,2710.1120284086296,154.96048761127037,1365.077242547484,355.1072333561151,2567.0084780535435,3004.159354280356,1478.5695998766266,621.0699605245939,4569.539176074767,,60.981148250385374,0.00022569303763618164,0.038782809439037204,2.831437780941564
std,,10.487763402285895,103939.83281497667,5119.535685242309,12674.472498097344,534.1696796091633,5584.9871881711715,2911.7884204120614,12973.085992272607,14667.17470615699,6186.968219705175,2871.9039622541727,17356.620895814485,,1332.2421455244646,0.0023272098527826824,0.08738507763632505,2.3852839482731016
min,,1985.0,0.0,-50.132,-86154.0,0.0,0.0,0.0,0.0,0.0,-76735.0,-80053.0,-12519.497,,0.0001,-0.0958940241505936,0.0,0.1
25%,,2000.0,228.593,10.03175,60.581,16.797,23.0675,0.048,6.796,5.534,28.8345,0.916,97.4455,,8.3125,-0.0004727723938579,0.015678013159959724,0.37
50%,,2010.0,1162.554,47.2605,301.1,43.2765,132.77949999999998,4.744,166.83,239.357,188.14,53.251,602.481,,21.6875,0.0003956950135797,0.0218201512347946,2.05
75%,,2017.0,5180.221,211.34975,1385.0,115.099,685.44375,50.1175,1092.044,1469.632,842.002,315.5,2743.5055,,41.97,0.0011562155584321,0.03333309189435582,5.05
max,,2024.0,4002814.0,314148.0,649368.0,32426.0,179431.0,118905.0,377138.0,447427.0,343738.0,121896.0,637959.0,,141600.0,0.138629436111989,1.8852936735354924,8.54
