"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","9.90","9.91","10.01","9.84","54.10M","0.20%"
"12/30/2024","9.88","9.95","9.98","9.82","47.12M","-1.50%"
"12/27/2024","10.03","10.02","10.20","9.98","52.90M","-0.40%"
"12/26/2024","10.07","10.00","10.12","9.98","35.96M","0.50%"
"12/24/2024","10.02","9.90","10.06","9.89","29.08M","1.21%"
"12/23/2024","9.90","9.87","9.92","9.75","50.65M","0.20%"
"12/20/2024","9.88","9.70","9.96","9.68","87.71M","1.44%"
"12/19/2024","9.74","9.79","9.94","9.70","81.66M","0.52%"
"12/18/2024","9.69","9.94","10.09","9.66","84.20M","-2.81%"
"12/17/2024","9.97","9.96","10.04","9.88","76.21M","-0.20%"
"12/16/2024","9.99","10.07","10.12","9.88","96.26M","-3.85%"
"12/13/2024","10.39","10.40","10.44","10.32","40.56M","0.00%"
"12/12/2024","10.39","10.38","10.51","10.35","38.43M","-0.19%"
"12/11/2024","10.41","10.61","10.61","10.28","60.49M","-1.42%"
"12/10/2024","10.56","10.72","10.74","10.55","45.08M","-0.38%"
"12/09/2024","10.60","10.56","10.80","10.53","53.23M","0.86%"
"12/06/2024","10.51","10.51","10.60","10.42","56.23M","0.67%"
"12/05/2024","10.44","10.64","10.69","10.39","68.16M","-2.79%"
"12/04/2024","10.74","10.85","10.87","10.59","66.78M","-0.74%"
"12/03/2024","10.82","10.99","11.01","10.82","43.90M","-1.46%"
"12/02/2024","10.98","11.22","11.24","10.96","50.03M","-1.35%"
"11/29/2024","11.13","11.16","11.27","11.12","28.94M","0.27%"
"11/27/2024","11.10","11.13","11.26","11.06","28.47M","0.00%"
"11/26/2024","11.10","11.16","11.23","11.04","47.46M","-2.63%"
"11/25/2024","11.40","11.30","11.52","11.28","63.47M","1.97%"
"11/22/2024","11.18","10.81","11.38","10.80","82.56M","3.52%"
"11/21/2024","10.80","10.78","10.85","10.61","53.41M","0.65%"
"11/20/2024","10.73","11.01","11.05","10.61","68.63M","-2.90%"
"11/19/2024","11.05","11.06","11.32","11.01","53.23M","-1.43%"
"11/18/2024","11.21","11.05","11.27","11.03","47.81M","1.82%"
"11/15/2024","11.01","11.05","11.15","10.98","58.90M","-0.54%"
"11/14/2024","11.07","11.13","11.23","11.02","56.78M","-0.27%"
"11/13/2024","11.10","11.12","11.17","11.02","55.15M","0.00%"
"11/12/2024","11.10","11.14","11.30","10.95","44.92M","-1.16%"
"11/11/2024","11.23","11.07","11.32","11.02","56.63M","2.37%"
"11/08/2024","10.97","10.93","10.97","10.86","45.46M","0.09%"
"11/07/2024","10.96","11.01","11.11","10.83","55.41M","-2.06%"
"11/06/2024","11.19","10.95","11.23","10.84","100.78M","5.57%"
"11/05/2024","10.60","10.33","10.64","10.30","49.31M","2.32%"
"11/04/2024","10.36","10.23","10.57","10.23","55.32M","1.37%"
"11/01/2024","10.22","10.33","10.41","10.20","43.47M","-0.68%"
"10/31/2024","10.29","10.43","10.48","10.24","72.10M","-1.72%"
"10/30/2024","10.47","10.40","10.53","10.33","48.85M","0.58%"
"10/29/2024","10.41","10.53","10.55","10.18","156.23M","-8.44%"
"10/28/2024","11.37","11.16","11.39","11.12","97.97M","2.71%"
"10/25/2024","11.07","11.28","11.33","11.02","39.12M","-1.51%"
"10/24/2024","11.24","11.24","11.25","11.07","44.74M","1.63%"
"10/23/2024","11.06","11.11","11.24","11.02","37.34M","-0.45%"
"10/22/2024","11.11","10.92","11.15","10.92","51.60M","2.11%"
"10/21/2024","10.88","11.08","11.16","10.86","41.01M","-1.98%"
"10/18/2024","11.10","11.16","11.17","11.04","26.07M","0.27%"
"10/17/2024","11.07","11.04","11.13","10.94","37.62M","0.36%"
"10/16/2024","11.03","10.89","11.18","10.89","47.00M","1.75%"
"10/15/2024","10.84","10.91","11.02","10.82","53.10M","-0.73%"
"10/14/2024","10.92","10.71","10.96","10.65","41.94M","1.87%"
"10/11/2024","10.72","10.64","10.80","10.63","31.92M","0.37%"
"10/10/2024","10.68","10.58","10.70","10.54","39.46M","0.56%"
"10/09/2024","10.62","10.49","10.68","10.44","40.41M","1.24%"
"10/08/2024","10.49","10.50","10.58","10.38","46.36M","0.00%"
"10/07/2024","10.49","10.55","10.61","10.45","38.01M","-0.76%"
"10/04/2024","10.57","10.59","10.61","10.44","45.97M","1.15%"
"10/03/2024","10.45","10.41","10.47","10.33","44.46M","-0.29%"
"10/02/2024","10.48","10.73","10.73","10.43","51.46M","-2.51%"
"10/01/2024","10.75","10.72","10.81","10.58","63.96M","1.80%"
"09/30/2024","10.56","10.48","10.61","10.43","59.71M","-2.04%"
"09/27/2024","10.78","10.84","10.99","10.76","45.47M","0.94%"
"09/26/2024","10.68","10.56","10.75","10.56","51.41M","2.50%"
"09/25/2024","10.42","10.59","10.59","10.32","74.11M","-4.14%"
